B02001_001E,B02001_002E,state,county,tract,block group
987,515,04,019,001303,2
1472,854,04,013,811900,1
1855,1534,04,027,010911,2
780,692,04,027,011700,2
443,377,04,027,010914,2
3045,2759,04,027,011504,1
1449,1199,04,013,811700,3
844,748,04,013,811600,3
2522,1767,04,013,811500,1
1147,1041,04,013,422305,4
2817,2434,04,013,615200,1
1542,1404,04,013,615000,3
1336,714,04,013,614900,3
1944,1851,04,013,817300,1
2733,2155,04,013,817100,3
1887,1758,04,019,004424,2
2527,1996,04,019,004423,1
2745,2646,04,015,953402,2
1766,1696,04,015,950706,1
810,705,04,015,951402,1
5261,5082,04,015,950704,1
646,445,04,013,614600,4
1751,1739,04,013,612500,2
1847,1780,04,013,610000,1
2406,1620,04,013,610000,2
1230,1185,04,013,817200,3
4289,3844,04,013,817200,1
967,857,04,013,422221,2
1231,866,04,019,003200,5
1200,919,04,019,003200,6
1171,1052,04,019,000400,3
1340,633,04,013,112402,2
1886,779,04,013,109500,3
2309,1492,04,013,111402,2
816,652,04,013,111900,3
1418,861,04,013,112503,3
1950,1040,04,013,112504,2
1495,572,04,013,113700,2
1764,1279,04,013,113700,3
1550,1399,04,013,216822,1
1274,1234,04,013,104225,3
742,742,04,013,105102,1
1037,809,04,013,105200,1
1125,1057,04,013,108502,3
909,619,04,013,108502,2
2150,1833,04,013,610400,4
1522,1330,04,013,615700,2
1415,1372,04,013,615600,2
642,632,04,013,615500,2
1689,1338,04,013,613200,2
1534,1489,04,013,613100,2
2703,2528,04,013,613000,1
1522,1494,04,023,966000,3
1311,1034,04,023,966402,1
640,420,04,023,966200,2
864,810,04,023,966401,1
3595,2938,04,013,815600,2
1410,1253,04,013,815500,2
1058,925,04,003,000302,3
2829,2219,04,013,082024,2
911,783,04,003,000203,2
505,324,04,019,004069,4
1455,1348,04,005,001101,3
675,7,04,005,942202,1
997,688,04,013,618500,3
1602,1329,04,013,618300,2
1860,1668,04,013,618200,1
1137,1008,04,013,422617,3
2042,1780,04,013,422513,2
1829,1742,04,025,001801,1
994,967,04,015,951602,1
1257,1208,04,013,422632,2
3569,2528,04,013,116609,2
3226,1899,04,013,116608,1
508,453,04,027,000502,3
3461,2982,04,027,000905,2
1887,1718,04,027,000905,3
951,632,04,027,001003,2
503,369,04,027,011201,2
677,330,04,027,001004,2
791,584,04,027,000501,1
1847,1647,04,013,422626,1
2108,1670,04,013,422625,1
2758,2417,04,013,422622,2
654,615,04,013,040524,2
1842,1390,04,013,420704,1
963,604,04,013,116612,2
1810,1287,04,013,813200,1
2252,2016,04,013,061026,2
827,399,04,013,093200,1
2598,2045,04,013,083000,2
1356,1187,04,013,061043,2
865,450,04,013,105502,1
869,308,04,013,082211,1
1198,992,04,013,103219,1
1879,1113,04,013,092801,3
332,332,04,013,040525,6
531,523,04,013,040525,3
1564,920,04,013,112507,2
1611,1460,04,013,061012,3
1225,718,04,013,050702,2
702,677,04,003,000203,1
971,885,04,003,001300,5
5036,4050,04,003,000500,4
1385,1231,04,003,000700,4
1144,1013,04,013,420401,3
2521,2305,04,013,420216,2
1623,1296,04,013,420114,2
1204,1029,04,013,619900,1
1406,1175,04,013,619800,1
1476,1307,04,013,619700,1
2035,1802,04,013,619500,2
1378,948,04,013,619400,3
2055,1476,04,013,619300,3
3748,2923,04,013,619200,3
1514,700,04,013,116605,1
2367,1043,04,013,116603,2
6344,4399,04,013,050610,1
1533,1283,04,013,050608,2
4738,4078,04,013,422606,3
1405,1234,04,013,112202,2
3798,1912,04,021,001707,1
2199,1529,04,021,001704,1
979,641,04,013,110002,1
2847,1525,04,013,320001,1
1231,572,04,013,319101,2
1476,1265,04,019,004634,1
2197,2109,04,013,103611,3
1701,1328,04,019,004715,2
1282,1019,04,019,004718,1
649,561,04,019,004011,1
1481,1120,04,019,004011,2
2728,2650,04,019,004107,2
2821,2487,04,019,004418,1
1548,933,04,019,004504,1
1513,1109,04,013,318700,2
1753,1394,04,013,216806,2
2430,2194,04,013,217600,3
1071,808,04,013,318900,4
1663,1029,04,013,318900,3
1324,1206,04,013,071509,2
985,801,04,013,103303,3
897,845,04,013,108400,2
807,567,04,013,108400,3
1385,1335,04,007,000200,3
4711,3836,04,005,001000,1
622,502,04,019,000600,2
702,671,04,019,000600,5
911,808,04,019,001900,1
2213,1520,04,019,004033,1
1257,716,04,019,004036,2
1530,1296,04,019,004053,1
4044,3577,04,019,004411,1
948,744,04,019,004038,3
1269,825,04,019,003504,2
1322,1041,04,013,420113,1
2067,1037,04,013,112302,1
1374,1238,04,013,217201,2
1403,1025,04,013,111100,2
1414,790,04,013,112301,1
1795,1397,04,013,114100,1
979,677,04,013,523103,2
2990,2309,04,013,422616,1
2249,1926,04,013,422217,1
2370,2072,04,013,104000,4
1926,1674,04,013,104000,1
1112,1100,04,013,104218,2
1612,1512,04,013,105101,3
1787,1638,04,013,105101,2
1852,1357,04,013,105900,2
858,473,04,013,107300,3
2016,1853,04,019,004025,1
2062,1523,04,019,004044,1
2001,1617,04,019,004312,2
1192,994,04,019,004312,3
1953,1556,04,019,004615,2
1875,1853,04,013,420207,1
1573,1382,04,013,420603,2
1914,1914,04,013,040506,1
1346,685,04,013,116205,2
3378,2002,04,013,116400,3
1210,347,04,017,960100,1
1465,1196,04,021,001100,1
2364,1163,04,013,319705,1
1795,1034,04,013,217501,3
6762,4910,04,013,061016,1
610,507,04,013,060904,1
2521,1767,04,013,050609,1
744,744,04,013,216818,4
2311,1879,04,013,420301,1
989,173,04,013,320002,3
947,947,04,013,040528,2
2427,2192,04,013,040527,3
815,772,04,013,040526,3
1908,1536,04,013,061040,3
1531,1320,04,013,061039,3
791,746,04,013,422607,3
862,693,04,013,093104,3
2130,1202,04,005,002300,5
1060,776,04,005,002300,2
1359,1253,04,001,970501,2
832,816,04,001,970502,2
1405,1251,04,013,420706,3
952,646,04,005,002200,4
1255,7,04,001,944201,1
2102,1714,04,013,104701,1
1795,1592,04,013,217102,2
1472,1022,04,013,217900,3
1412,1230,04,013,218100,2
1783,1143,04,013,218200,3
3294,3146,04,019,004716,1
1978,24,04,019,940800,2
954,554,04,019,000800,1
1166,823,04,019,002300,5
644,351,04,019,002300,1
1569,1197,04,019,003903,2
1437,954,04,019,002400,2
